#BPM 136				
#StartTime 102				
#Humen				
//type 出現行 id id終わり これが5つ。単ノートはid無視。フリック方向はLN終点に単体以外自動				
//type 0:無し 1:通常ノート 2:LN 3:SLIDE 4:FLICK_L 5:FLICK_R				
#1 1
			1 3.5 0	
#2 2
		1 3 0		
#3 4
	2 2.5 0			
				
				
	2 -1 0	2 3 0		
#4 4
2 2 0		2 -1 0		
				
2 -1 0				
#7 8
			2 3 0	
#7.5 8
			2 -1 0	
				
				1 3 0
		1 3 0		
#9 8
1 1 0				
				
				
			1 3 0	
				
				
	1 1 0			
#10.25 8
				1
				
				
	1			
#11 8
		1		
				
1				
#12 16
				
				
	1			
				
				
				
				
			1	
				
				
				
				
				1
#13 8
1				
				
				
			1	
				
				
	1			
#14.25 8
			1	
				
				
1				
#15 8
		1		
				
1				
#16 16
				
				
	1			
				
				
				
				
			1	
				
				
				
				
				1
#17 1
				2 -1 0
#18 1
		1		2 -1 0
#19.875 1
				1
#21.25 8
			1	
		1		
				
	1			
				
		1		
#24 8
			2 -1 0	
				
				
			2 -1 0	
		2 -1 0		
				
				
		2 -1 0		
#25 8
	2 -1 0			
				
				
	2 -1 0			
				
		1		
#26 4
1				
			1	
#27.25 8
			1	
#27.875 8
				1
#28.25 4
			1	
#29.25 8
			1	
				
				
				1
#30 4
1				
			1	
#31.25 8
			1	
#31.875 8
	1			
#32 4
				1
		1		
#33.25 8
		1		
				1
#34 1
1				
#38 1
1				
#39 1
	1			
#40 1
		1		
#41 1
			1	
#42 1
				1
#43 1
1				1
#44.25 4
	1			
1				
			1	
#45 1
		1		
#46 8
				1
				
				
			1	
				
				
	1			
#47 1
		1		
#49.375 16
			1	
				
			1	
				
				
				1
				
				
			1	
#50 16
		1		
				
				
	1			
				
				
1				
				
				
		1		
				
				
	1			
#52.25 4
	1			
1				
			1	
#53 1
		1		
#54 8
				1
				
				
			1	
				
				
	1			
#55 1
		1		
#56 2
			1	
	1			
#57 8
			1	
#57.75 8
				1
		1		
#59 1
		1		
#61 8
1		1		
#61.75 8
	1		1	
	2 -1 0		2 -1 0	
#63 1
	2 -1 0		2 -1 0	
